Year,HTS_Code,Description,MFN_Rate,MFN_Rate_Raw,Category
2017,"87032401,""Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine, w/cyl capacity >3, 000cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87033101,""Motor vehicles to transport persons, w/diesel engines, of a cylinder capacity <= 1, 500cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87033201,""Motor vehicles to transport persons, w/diesel engines, of a cylinder capacity > 1, 500cc but <= 2, 500cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87033301,""Motor vehicles to transport persons, w/diesel engines, of a cylinder capacity > 2, 500cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87034000,""Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine & elec motor incapable of charge by plug to exetrnal source"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87035000,""Motor vehicles to transport persons, w/diesel engine & elec motor incapable of charge by plug to external source"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87036000,""Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine & elec motor capable of charge by plug to external source"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87037000,""Motor vehicles to transport persons, w/diesel engine & elec motor capable of charge by plug to external source"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87038000,""Motor vehicles to transport persons, w/electric motor for propulsion"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87039001,""Motor vehicles to transport persons, nesoi"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
